feature,importance,std
AMT_GOODS_PRICE,0.013357570948681518,0.0003448754861293362
pos_count,0.012067535795467488,0.00023110327618233018
DAYS_BIRTH,0.00918958996588739,0.0003176589519203244
pos_future_installment,0.007488187414433967,0.00038979896160075715
CODE_GENDER,0.00661699906670008,0.00020733254689130404
payment_sum,0.005162742145809418,0.0001533939587771795
EXT_SOURCE_2,0.004523740614156913,0.00023842755902393314
installments_mean,0.004397241074303037,5.206723027044316e-05
installments_sum,0.0042577338696827005,5.476462451742075e-05
payment_mean,0.0037826289140876377,0.00015582617773510338
credit_card_balance_mean,0.0036395446016565525,0.00026422214286814146
installments_count,0.0031319204841452897,9.445627077611643e-05
previous_app_count,0.002528364838981356,0.00012530853022976567
DAYS_EMPLOYED,0.0024571478743849904,0.0002556601828098482
NAME_FAMILY_STATUS,0.002066592739771922,0.00011897081054970223
credit_card_limit_sum,0.0020158628471827144,9.8747475248983e-05
EXT_SOURCE_3,0.0017238407731756,0.0003866676039064895
credit_card_count,0.0011596333139302529,9.377930919973324e-05
FLAG_OWN_CAR,0.0010988224811470325,0.00012030727542633574
previous_credit_mean,0.0008350920780069826,0.00012327979541504637
AMT_INCOME_TOTAL,0.0005746135910585703,6.443473147702901e-05
payment_days_mean,0.00041364373957354373,8.528208337604287e-05
pos_installment_sum,0.0004012864580454134,8.784026994731464e-05
REGION_POPULATION_RELATIVE,0.0003203137448741566,0.00010138732078299999
FLAG_DOCUMENT_3,0.00030210301420112716,0.00013153548773997418
EXT_SOURCE_1,0.0002982007147712129,0.0002721799458975584
DAYS_ID_PUBLISH,0.00029527399019873,0.0002538861587131517
REG_CITY_NOT_LIVE_CITY,0.0002689334690466727,7.500655900378817e-05
HOUR_APPR_PROCESS_START,0.0002357639238921738,8.300034329248637e-05
AMT_REQ_CREDIT_BUREAU_QRT,0.00021462646864665036,8.090673377294246e-05
ORGANIZATION_TYPE,0.00018926152235204663,0.0001297657180519702
DEF_30_CNT_SOCIAL_CIRCLE,0.00016682330062991468,5.675595330710752e-05
ELEVATORS_MODE,0.00011219110861077075,3.402101194112275e-05
WEEKDAY_APPR_PROCESS_START,0.00010211016841674692,1.8521654010291962e-05
REGION_RATING_CLIENT,7.47940724071694e-05,1.7752007653669848e-05
bureau_worst_status,7.056658135806693e-05,6.111612912461394e-05
LIVINGAREA_MODE,6.568870707063246e-05,2.3799050393043024e-05
COMMONAREA_MODE,6.0485641164076395e-05,8.123284043044607e-06
COMMONAREA_MEDI,5.5607766876641926e-05,1.3754490722321821e-05
BASEMENTAREA_MODE,5.560776687661973e-05,1.859288592462818e-05
NAME_TYPE_SUITE,5.072989258921856e-05,2.816992930685451e-05
BASEMENTAREA_AVG,4.227491049101362e-05,3.4812214694295373e-05
FLOORSMIN_MEDI,4.194971887186982e-05,1.0926631968561261e-05
APARTMENTS_MODE,3.512069486946157e-05,4.16143637737819e-05
LIVINGAREA_AVG,3.4145120011974675e-05,1.3269252653150003e-05
FLOORSMIN_MODE,2.5039754675448834e-05,1.4103722105703924e-05
AMT_REQ_CREDIT_BUREAU_WEEK,2.3413796579652146e-05,2.406417981797094e-05
NONLIVINGAPARTMENTS_MEDI,2.1137455245523463e-05,1.4043610070337167e-05
ELEVATORS_MEDI,2.0812263626357462e-05,1.1189616328572533e-05
ENTRANCES_AVG,1.9836688768881672e-05,2.2644640820743666e-05
OBS_30_CNT_SOCIAL_CIRCLE,1.918630553053857e-05,1.13071328509954e-05
LANDAREA_MODE,1.8861113911394777e-05,4.0060651084171406e-05
CNT_FAM_MEMBERS,1.4308431243126308e-05,8.988475183710354e-06
FLAG_DOCUMENT_16,1.3332856385639414e-05,5.318548449330563e-05
COMMONAREA_AVG,1.0731323432333629e-05,7.278773535129295e-06
AMT_REQ_CREDIT_BUREAU_MON,9.755748574857836e-06,1.851023146588922e-05
LIVINGAPARTMENTS_MODE,8.454982098204944e-06,1.2778003196248054e-05
ENTRANCES_MODE,5.5282575257331604e-06,2.327109035165973e-05
LIVE_CITY_NOT_WORK_CITY,4.227491049102472e-06,4.375005787448372e-06
AMT_REQ_CREDIT_BUREAU_YEAR,3.902299429947575e-06,5.3588579413712514e-05
BASEMENTAREA_MEDI,3.902299429947575e-06,4.995688445532349e-06
LIVE_REGION_NOT_WORK_REGION,3.902299429936473e-06,4.061642021504081e-06
FLOORSMAX_MEDI,3.902299429936473e-06,7.938939170108632e-06
ENTRANCES_MEDI,3.577107810781577e-06,5.528257525739691e-06
LIVINGAPARTMENTS_MEDI,6.503832383319974e-07,4.314154342925211e-06
AMT_REQ_CREDIT_BUREAU_DAY,6.503832383319974e-07,1.3007664766639949e-06
FLAG_DOCUMENT_5,0.0,0.0
FLAG_DOCUMENT_6,0.0,0.0
FLAG_DOCUMENT_9,0.0,0.0
FLAG_DOCUMENT_7,0.0,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0,0.0
FLAG_DOCUMENT_15,0.0,0.0
FLAG_DOCUMENT_20,0.0,0.0
FLAG_DOCUMENT_19,0.0,0.0
FLAG_OWN_REALTY,0.0,0.0
FLAG_MOBIL,0.0,0.0
FLAG_EMP_PHONE,0.0,0.0
YEARS_BUILD_MEDI,0.0,0.0
REG_REGION_NOT_LIVE_REGION,0.0,0.0
REG_REGION_NOT_WORK_REGION,0.0,0.0
FLAG_CONT_MOBILE,0.0,0.0
FLAG_EMAIL,0.0,0.0
FLAG_DOCUMENT_14,0.0,0.0
FLAG_DOCUMENT_21,0.0,0.0
FLAG_DOCUMENT_11,0.0,0.0
FLAG_DOCUMENT_12,0.0,0.0
FLAG_DOCUMENT_10,0.0,0.0
FLAG_DOCUMENT_4,0.0,0.0
HOUSETYPE_MODE,0.0,0.0
FLAG_DOCUMENT_2,0.0,0.0
FLAG_DOCUMENT_17,0.0,0.0
CNT_CHILDREN,-3.2519161917710094e-07,9.017839767583097e-06
NONLIVINGAREA_AVG,-6.503832383319974e-07,3.805714615300941e-05
FLAG_DOCUMENT_8,-1.6259580958299935e-06,2.6217786513028242e-06
NAME_INCOME_TYPE,-1.9511497149737876e-06,0.00020374857477805262
NONLIVINGAPARTMENTS_MODE,-4.877874287423367e-06,4.423084217725284e-06
REG_CITY_NOT_WORK_CITY,-5.2030659065782635e-06,1.7584419203997205e-05
LIVINGAPARTMENTS_AVG,-5.5282575257442625e-06,1.9350950758581462e-05
YEARS_BEGINEXPLUATATION_AVG,-6.829024002397155e-06,2.761066439526833e-05
LANDAREA_MEDI,-9.430556955691839e-06,1.5626125604267783e-05
FLAG_DOCUMENT_13,-1.0731323432322526e-05,1.4400518892319873e-05
EMERGENCYSTATE_MODE,-1.1706898289831624e-05,6.852212605629131e-06
NAME_EDUCATION_TYPE,-1.3658048004749902e-05,0.00015885069710294426
NONLIVINGAREA_MEDI,-1.5609197719768098e-05,2.616933968377859e-05
NAME_HOUSING_TYPE,-1.7235155815564783e-05,3.054205504045572e-05
FONDKAPREMONT_MODE,-1.8535922292195474e-05,2.0976749999685692e-05
TOTALAREA_MODE,-2.438937143709463e-05,4.930166637286367e-05
LANDAREA_AVG,-2.731609600958862e-05,1.6530485123638254e-05
NONLIVINGAREA_MODE,-2.95924373436951e-05,4.652513665514057e-05
FLAG_WORK_PHONE,-2.95924373436951e-05,7.282332145290279e-05
YEARS_BUILD_AVG,-3.1868778677823786e-05,1.1796883459282457e-05
APARTMENTS_MEDI,-3.1868778677823786e-05,2.7547396463277436e-05
WALLSMATERIAL_MODE,-3.4795503250284464e-05,8.408640366726466e-05
APARTMENTS_AVG,-3.6746652965280455e-05,2.5524952867631138e-05
FLAG_DOCUMENT_18,-3.7397036203568045e-05,5.547830019818168e-05
ELEVATORS_AVG,-4.7152784778425884e-05,3.8921239251868e-05
FLAG_PHONE,-4.8128359635923876e-05,4.6099281382900846e-05
NONLIVINGAPARTMENTS_AVG,-5.4307000399977937e-05,7.132009001128822e-06
FLOORSMIN_AVG,-5.528257525747593e-05,2.1324240512704822e-05
REGION_RATING_CLIENT_W_CITY,-6.471313221316777e-05,0.00015218446627423673
YEARS_BUILD_MODE,-6.568870707062136e-05,2.9511923292585862e-05
OBS_60_CNT_SOCIAL_CIRCLE,-6.633909030894225e-05,2.9669168850426947e-05
YEARS_BEGINEXPLUATATION_MEDI,-6.633909030896445e-05,2.8727509357852e-05
FLOORSMAX_MODE,-6.829024002392714e-05,2.7090628432365892e-05
YEARS_BEGINEXPLUATATION_MODE,-7.38184975496714e-05,6.755929261243371e-05
FLOORSMAX_AVG,-0.00015674236043586865,7.8556495758006e-05
OCCUPATION_TYPE,-0.000161620234723292,5.9556250473391435e-05
DEF_60_CNT_SOCIAL_CIRCLE,-0.00018633479777956373,8.885589500556722e-05
credit_card_balance_sum,-0.00021430127702748436,2.9138693372721456e-05
LIVINGAREA_MEDI,-0.00022926009150892046,6.148185964156e-05
OWN_CAR_AGE,-0.0002582021456143058,0.00010751210673667798
DAYS_REGISTRATION,-0.00027283576847654257,8.381431535942084e-05
bureau_debt_sum,-0.000401936841283701,3.642146134610098e-05
bureau_count,-0.0005134775666561398,9.237331108482163e-05
bureau_credit_mean,-0.0005320134889483574,0.00011448592525045649
previous_app_amount_mean,-0.0006549359209914396,5.2640879881389487e-05
credit_card_balance_max,-0.0008588310662057564,3.304977316968605e-05
DAYS_LAST_PHONE_CHANGE,-0.0009599656597649942,0.00016521398536129908
bureau_credit_sum,-0.0010659781276116886,7.796193550255191e-05
credit_card_limit_mean,-0.0011342683676356159,9.003521815178268e-05
bureau_active_count,-0.0012877588118799133,0.00014727985514373303
bureau_days_credit_mean,-0.0014259652500235754,0.00013122801472578222
NAME_CONTRACT_TYPE,-0.0014962066397624873,0.00010723880861408324
bureau_debt_mean,-0.004085057119907897,0.00011846798080777762
AMT_ANNUITY,-0.004786820634058597,0.0003618405261368791
AMT_CREDIT,-0.005629717310925453,0.00032660572957646065
